Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"algorithm 2/10 circles",1.458632535743221e-7,1.4545488534139955e-7,1.4633892771506648e-7,7.106425270794781e-9,6.240152244876688e-9,8.18075921221531e-9
"algorithm 2/20 circles",4.760233225787567e-7,4.7411615167131085e-7,4.78265505801974e-7,3.345501905854764e-8,2.9374334610906852e-8,3.88049727702124e-8
"algorithm 2/30 circles",3.6310921015861594e-6,3.6217937770011973e-6,3.641478256507568e-6,1.5811322297244694e-7,1.439417175670855e-7,1.7613577596794805e-7
"algorithm 2/40 circles",2.4379472737885346e-6,2.431286893004339e-6,2.4454324776717622e-6,1.13497192171275e-7,1.0248036548254341e-7,1.2746923423112296e-7
"algorithm 2/50 circles",
